TIMESTAMP(ms),Heading_true(rad),Heading_est(rad),dR(m)
4135534,1.54136,1.528,24
4136534,1.54301,1.52624,24
4137534,1.55406,1.52813,24
4138534,1.56354,1.54118,24
4139534,1.58116,1.5513,24
4140534,1.59705,1.56905,24
4141534,1.6112,1.58483,24
4142534,1.62537,1.59714,23
4143534,1.64406,1.61381,23
4144534,1.66607,1.63293,23
4145534,1.70996,1.65628,22
4146534,1.74921,1.70589,22
4147534,1.78644,1.74028,22
4148534,1.83886,1.78352,22
4149534,1.8825,1.8337,22
4150534,1.92404,1.8751,21
4151534,1.96797,1.91943,21
4152534,1.99672,1.96167,21
4153534,2.04021,1.99006,20
4154534,2.08242,2.03495,20
